ID;attribute_1;attribute_6;submitdate;startdate;datestamp;G1;G2;cleta;regione;Area;provincia;codcom_1;codcom_2;ampiezza;ampiezzaclasse;G5;G6;G7;TA1;TA1a;TA1b;TA1c;TA1bis;TA2;TA3;TA4;TA6;TA5;TA7;TA8;TA8bis;EA_1;EA_2;EA_3;EA_4;PP1_1;PP2_1;PP2_2;PP2_3;PP2_4;PP2_5;PP2_6;PT_1;PT_2;PT_3;PT_4;PT_tot;PAPA_1;PAPA_2;PAPA_3;PAPA_4;PAPA_5;PAPA_6;PAPA_7;AMB_tot;AFKintro;AFK_1;AFK_2;AFK_3;AFK_4;AFK_5;SE1;SE2;AFK1;AFK1bis_1;AFK1bis_2;AFK1bis_3;AFK1bis_4;AFK2;AFK2bis_1;AFK2bis_2;AFK2bis_3;AFK2bis_4;AFK2bis_5;AFK2bis_6;AFK3intro;AFK3_1;AFK3_2;AFK3_3;AFK3_4;AFK3_5;AFK3_6;AFK4intro;AFK4_1;AFK4_2;AFK4_3;AFK4_4;CE_1;CE_2;CE_3;CE_4;CT_1;CT_2;CT_3;CT_4;SC_1;SC_2;SC_3;SC_4;GC_1;GC_2;GC_3;ATE_1;ATE_2;ATE_3;ATE_4;ATE_5;ATE_6;WTP1_1;WTP1_2;WTP1_3;WTP1_4;WTP1_5;WTP2_1;WTP2_2;WTP2_3;WTP2_4;WTP2_5
1;815195d4-f847-6dae-aa78-a17ab5763c3c;O;20/07/2024 10:12;20/07/2024 10:00;20/07/2024 10:12;Femmina;55;46-65;Toscana;Centro;Lucca;46013;Forte dei Marmi;7440;5001-10000;Laurea o titolo superiore;Occupato;15-30k;;Variabile;;Variabile;No;SI, due o più veicoli;Auto privata (autista);Sì, uno;No;Auto privata;Ibrido;Più di 300€;76-100%;7;10;6;6;7;7;8;7;7;5;5;2;1;1;1;5;1;10;7;3;5;10;5;113;Sì;No;No;No;No;Sì;Sì;Completamente elettrico;Sì;VERO;FALSO;FALSO;VERO;Sì;VERO;FALSO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;5;3;6;7;10;10;9;10;4;5;8;8;9;10;8;Mai e non mi interessa;Si, sempre;No ma vorrei;Mai e non mi interessa;Mai e non mi interessa;Mai e non mi interessa;1;1;1;1;1;1;1;1;1;1
1;815195d4-f847-6dae-aa78-a17ab5763c3c;O;20/07/2024 10:12;20/07/2024 10:00;20/07/2024 10:12;Femmina;55;46-65;Toscana;Centro;Lucca;46013;Forte dei Marmi;7440;5001-10000;Laurea o titolo superiore;Occupato;15-30k;;Variabile;;Variabile;No;SI, due o più veicoli;Auto privata (autista);Sì, uno;No;Auto privata;Ibrido;Più di 300€;76-100%;7;10;6;6;7;7;8;7;7;5;5;2;1;1;1;5;1;10;7;3;5;10;5;113;Sì;No;No;No;No;Sì;Sì;Elettrico ibrido plug-in;Sì;VERO;FALSO;FALSO;VERO;Sì;VERO;FALSO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;5;3;6;7;10;10;9;10;4;5;8;8;9;10;8;Mai e non mi interessa;Si, sempre;No ma vorrei;Mai e non mi interessa;Mai e non mi interessa;Mai e non mi interessa;1;1;1;1;1;1;1;1;1;1
2;d864bfca-244d-c4b3-8169-8b4f513a223a;O;23/07/2024 19:45;23/07/2024 19:04;23/07/2024 19:45;Maschio;61;46-65;Valle D'Aosta;Nord;Valle d'Aosta/Vallée d'Aoste;7023;Donnas;2533;0-5000;Diploma di scuola superiore;Pensionato;60-100k;10;;5;;No;SI, un mezzo di trasporto;Auto privata (passeggero);Sì, più di uno;No;Auto privata;Ibrido;Tra i 50€ e i 100€;51-75%;7;2;4;3;3;2;7;1;1;1;1;1;1;1;1;4;1;5;1;1;7;10;1;55;Sì;No;Sì;Sì;Sì;Sì;Sì;Elettrico ibrido plug-in;Sì;VERO;VERO;VERO;VERO;Sì;VERO;FALSO;FALSO;VERO;VERO;VERO;Sì;VERO;FALSO;FALSO;FALSO;VERO;VERO;Sì;VERO;VERO;VERO;VERO;8;9;8;8;10;10;8;10;10;2;1;1;1;1;1;Mai e non mi interessa;Si, sempre;Si, sempre;Mai e non mi interessa;Mai e non mi interessa;Mai e non mi interessa;49;52;52;51;53;1;24;51;13;35
3;79fca4a1-9088-1019-4202-90d7bd29914e;O;22/07/2024 19:35;22/07/2024 18:54;22/07/2024 19:35;Maschio;62;46-65;Marche;Centro;Macerata;43041;Pollenza;6577;5001-10000;Laurea o titolo superiore;Occupato;100k+;20;;20;;No;NO, cammino;;Sì, più di uno;No;Altro;Benzina;Tra i 50€ e i 100€;51-75%;1;8;9;8;8;9;5;8;9;9;9;8;7;8;8;31;3;1;7;7;5;7;1;123;Sì;Sì;Sì;Sì;Sì;Non so;No;;Sì;FALSO;FALSO;FALSO;FALSO;Sì;FALSO;VERO;FALSO;VERO;VERO;VERO;Sì;FALSO;FALSO;FALSO;VERO;VERO;VERO;Sì;VERO;FALSO;FALSO;FALSO;2;2;Non so;5;8;8;9;8;8;Non so;1;1;3;5;2;No ma vorrei;Mai e non mi interessa;Mai e non mi interessa;Mai e non mi interessa;Mai e non mi interessa;Mai e non mi interessa;1;2;1;2;1;1;1;1;1;1
4;73780aff-e4b0-d433-565c-3e5343d2150f;O;19/07/2024 19:30;19/07/2024 19:16;19/07/2024 19:30;Maschio;49;46-65;Sardegna;Sud e Isole;Sassari;90064;Sassari;127533;60001-250000;Diploma di scuola superiore;Occupato;30-60k;25;;;Variabile;No;SI, un mezzo di trasporto;Auto privata (autista);Sì, più di uno;No;Auto privata;Ibrido;Tra i 100€ e i 200€;76-100%;4;6;7;7;7;6;6;5;5;5;5;7;6;7;6;26;5;7;5;3;7;10;5;108;Sì;Sì;Sì;Sì;Sì;Non so;Sì;Completamente elettrico;Sì;FALSO;FALSO;FALSO;VERO;Sì;VERO;VERO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;Non so;Non so;7;Non so;8;8;8;8;7;8;7;7;5;6;6;No ma vorrei;Si spesso;Si spesso;No ma vorrei;No ma vorrei;No ma vorrei;15;45;30;40;100;30;20;35;35;35
4;73780aff-e4b0-d433-565c-3e5343d2150f;O;19/07/2024 19:30;19/07/2024 19:16;19/07/2024 19:30;Maschio;49;46-65;Sardegna;Sud e Isole;Sassari;90064;Sassari;127533;60001-250000;Diploma di scuola superiore;Occupato;30-60k;25;;;Variabile;No;SI, un mezzo di trasporto;Auto privata (autista);Sì, più di uno;No;Auto privata;Ibrido;Tra i 100€ e i 200€;76-100%;4;6;7;7;7;6;6;5;5;5;5;7;6;7;6;26;5;7;5;3;7;10;5;108;Sì;Sì;Sì;Sì;Sì;Non so;Sì;Elettrico ibrido plug-in;Sì;FALSO;FALSO;FALSO;VERO;Sì;VERO;VERO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;Non so;Non so;7;Non so;8;8;8;8;7;8;7;7;5;6;6;No ma vorrei;Si spesso;Si spesso;No ma vorrei;No ma vorrei;No ma vorrei;15;45;30;40;100;30;20;35;35;35
4;73780aff-e4b0-d433-565c-3e5343d2150f;O;19/07/2024 19:30;19/07/2024 19:16;19/07/2024 19:30;Maschio;49;46-65;Sardegna;Sud e Isole;Sassari;90064;Sassari;127533;60001-250000;Diploma di scuola superiore;Occupato;30-60k;25;;;Variabile;No;SI, un mezzo di trasporto;Auto privata (autista);Sì, più di uno;No;Auto privata;Ibrido;Tra i 100€ e i 200€;76-100%;4;6;7;7;7;6;6;5;5;5;5;7;6;7;6;26;5;7;5;3;7;10;5;108;Sì;Sì;Sì;Sì;Sì;Non so;Sì;GPL;Sì;FALSO;FALSO;FALSO;VERO;Sì;VERO;VERO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;Non so;Non so;7;Non so;8;8;8;8;7;8;7;7;5;6;6;No ma vorrei;Si spesso;Si spesso;No ma vorrei;No ma vorrei;No ma vorrei;15;45;30;40;100;30;20;35;35;35
4;73780aff-e4b0-d433-565c-3e5343d2150f;O;19/07/2024 19:30;19/07/2024 19:16;19/07/2024 19:30;Maschio;49;46-65;Sardegna;Sud e Isole;Sassari;90064;Sassari;127533;60001-250000;Diploma di scuola superiore;Occupato;30-60k;25;;;Variabile;No;SI, un mezzo di trasporto;Moto o motorino;Sì, più di uno;No;Auto privata;Ibrido;Tra i 100€ e i 200€;76-100%;4;6;7;7;7;6;6;5;5;5;5;7;6;7;6;26;5;7;5;3;7;10;5;108;Sì;Sì;Sì;Sì;Sì;Non so;Sì;Completamente elettrico;Sì;FALSO;FALSO;FALSO;VERO;Sì;VERO;VERO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;Non so;Non so;7;Non so;8;8;8;8;7;8;7;7;5;6;6;No ma vorrei;Si spesso;Si spesso;No ma vorrei;No ma vorrei;No ma vorrei;15;45;30;40;100;30;20;35;35;35
4;73780aff-e4b0-d433-565c-3e5343d2150f;O;19/07/2024 19:30;19/07/2024 19:16;19/07/2024 19:30;Maschio;49;46-65;Sardegna;Sud e Isole;Sassari;90064;Sassari;127533;60001-250000;Diploma di scuola superiore;Occupato;30-60k;25;;;Variabile;No;SI, un mezzo di trasporto;Moto o motorino;Sì, più di uno;No;Auto privata;Ibrido;Tra i 100€ e i 200€;76-100%;4;6;7;7;7;6;6;5;5;5;5;7;6;7;6;26;5;7;5;3;7;10;5;108;Sì;Sì;Sì;Sì;Sì;Non so;Sì;Elettrico ibrido plug-in;Sì;FALSO;FALSO;FALSO;VERO;Sì;VERO;VERO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;Non so;Non so;7;Non so;8;8;8;8;7;8;7;7;5;6;6;No ma vorrei;Si spesso;Si spesso;No ma vorrei;No ma vorrei;No ma vorrei;15;45;30;40;100;30;20;35;35;35
4;73780aff-e4b0-d433-565c-3e5343d2150f;O;19/07/2024 19:30;19/07/2024 19:16;19/07/2024 19:30;Maschio;49;46-65;Sardegna;Sud e Isole;Sassari;90064;Sassari;127533;60001-250000;Diploma di scuola superiore;Occupato;30-60k;25;;;Variabile;No;SI, un mezzo di trasporto;Moto o motorino;Sì, più di uno;No;Auto privata;Ibrido;Tra i 100€ e i 200€;76-100%;4;6;7;7;7;6;6;5;5;5;5;7;6;7;6;26;5;7;5;3;7;10;5;108;Sì;Sì;Sì;Sì;Sì;Non so;Sì;GPL;Sì;FALSO;FALSO;FALSO;VERO;Sì;VERO;VERO;FALSO;VERO;FALSO;VERO;Sì;VERO;VERO;VERO;VERO;VERO;VERO;No;;;;;Non so;Non so;7;Non so;8;8;8;8;7;8;7;7;5;6;6;No ma vorrei;Si spesso;Si spesso;No ma vorrei;No ma vorrei;No ma vorrei;15;45;30;40;100;30;20;35;35;35
